Account export | Search keyword wPPC
"April 14, 2026 - May 13, 2026"
Search keyword,Clicks,Engaged sessions,Add to cart,Begin checkout,Purchases,Repeat purchases,Cost
kw_brand_core,2000,1400,420,260,150,70,1850.00
kw_brand_misspell,320,210,55,30,16,7,295.00
kw_generic_running_shoes,1500,800,180,90,40,15,2100.00
kw_competitor_x,600,300,60,28,12,4,990.00
kw_long_tail_a,90,40,9,5,3,1,75.00
kw_clearance,800,500,200,140,95,50,640.00
kw_high_intent_buy,450,360,150,110,80,45,720.00
kw_info_how_to,1200,300,30,10,3,0,1450.00
kw_category_jackets,700,420,120,70,35,14,910.00
kw_category_socks,250,150,60,40,22,10,210.00
kw_misc_broad,1800,500,80,30,12,2,2600.00
kw_email_promo,140,110,55,42,30,18,90.00
kw_obscure_longtail,5,3,2,1,1,0,18.00
